,Model,Method,Rejection Rate,Accuracy,Precision,Recall,F1-Score,AU-ARC
7,SVM_Linear,min,0.35000000000000003,0.9248554913294798,0.8103448275862069,0.9591836734693877,0.8785046728971962,0.8887985987884487
8,SVM_Linear,min,0.4,0.9182389937106918,0.7962962962962963,0.9555555555555556,0.8686868686868687,0.8887985987884487
9,SVM_Linear,min,0.45,0.9246575342465754,0.8163265306122449,0.9523809523809523,0.8791208791208791,0.8887985987884487
10,SVM_Linear,min,0.5,0.924812030075188,0.813953488372093,0.9459459459459459,0.875,0.8887985987884487
11,SVM_Linear,min,0.55,0.95,0.868421052631579,0.9705882352941176,0.9166666666666666,0.8887985987884487
12,SVM_Linear,min,0.6,0.9622641509433962,0.9,0.9642857142857143,0.9310344827586207,0.8887985987884487
13,SVM_Linear,min,0.65,0.956989247311828,0.88,0.9565217391304348,0.9166666666666666,0.8887985987884487
14,SVM_Linear,min,0.7000000000000001,0.975,0.8947368421052632,1.0,0.9444444444444444,0.8887985987884487
15,SVM_Linear,min,0.75,0.9850746268656716,0.9090909090909091,1.0,0.9523809523809523,0.8887985987884487
16,SVM_Linear,min,0.8,0.9811320754716981,0.8333333333333334,1.0,0.9090909090909091,0.8887985987884487
17,SVM_Linear,min,0.85,0.975,0.5,1.0,0.6666666666666666,0.8887985987884487
18,SVM_Linear,min,0.9,1.0,1.0,1.0,1.0,0.8887985987884487
19,SVM_Linear,min,0.9500000000000001,1.0,0.0,0.0,0.0,0.8887985987884487
0,SVM_Polynomial,min,0.0,0.8603773584905661,0.7653061224489796,0.8426966292134831,0.8021390374331551,0.8913708785567928
1,SVM_Polynomial,min,0.05,0.8849206349206349,0.7849462365591398,0.8902439024390244,0.8342857142857143,0.8913708785567928
2,SVM_Polynomial,min,0.1,0.895397489539749,0.788235294117647,0.9054054054054054,0.8427672955974843,0.8913708785567928
3,SVM_Polynomial,min,0.15,0.8982300884955752,0.7926829268292683,0.9154929577464789,0.8496732026143791,0.8913708785567928
4,SVM_Polynomial,min,0.2,0.8915094339622641,0.7733333333333333,0.90625,0.8345323741007195,0.8913708785567928
5,SVM_Polynomial,min,0.25,0.8994974874371859,0.7857142857142857,0.9166666666666666,0.8461538461538461,0.8913708785567928
6,SVM_Polynomial,min,0.3,0.8978494623655914,0.7846153846153846,0.9107142857142857,0.8429752066115702,0.8913708785567928
7,SVM_Polynomial,min,0.35000000000000003,0.9132947976878613,0.8070175438596491,0.92,0.8598130841121495,0.8913708785567928
8,SVM_Polynomial,min,0.4,0.9371069182389937,0.8461538461538461,0.9565217391304348,0.8979591836734694,0.8913708785567928
9,SVM_Polynomial,min,0.45,0.9315068493150684,0.8222222222222222,0.9487179487179487,0.8809523809523809,0.8913708785567928
10,SVM_Polynomial,min,0.5,0.9398496240601504,0.85,0.9444444444444444,0.8947368421052632,0.8913708785567928
11,SVM_Polynomial,min,0.55,0.9416666666666667,0.8484848484848485,0.9333333333333333,0.8888888888888888,0.8913708785567928
12,SVM_Polynomial,min,0.6,0.9716981132075472,0.9166666666666666,0.9565217391304348,0.9361702127659575,0.8913708785567928
13,SVM_Polynomial,min,0.65,0.978494623655914,0.95,0.95,0.95,0.8913708785567928
14,SVM_Polynomial,min,0.7000000000000001,0.975,0.9285714285714286,0.9285714285714286,0.9285714285714286,0.8913708785567928
15,SVM_Polynomial,min,0.75,0.9850746268656716,0.9,1.0,0.9473684210526315,0.8913708785567928
16,SVM_Polynomial,min,0.8,0.9811320754716981,0.8333333333333334,1.0,0.9090909090909091,0.8913708785567928
17,SVM_Polynomial,min,0.85,0.975,0.6666666666666666,1.0,0.8,0.8913708785567928
18,SVM_Polynomial,min,0.9,1.0,1.0,1.0,1.0,0.8913708785567928
19,SVM_Polynomial,min,0.9500000000000001,1.0,1.0,1.0,1.0,0.8913708785567928
0,SVM_RBF,min,0.0,0.8490566037735849,0.7474747474747475,0.8314606741573034,0.7872340425531915,0.874273137517178
1,SVM_RBF,min,0.05,0.8650793650793651,0.7578947368421053,0.8674698795180723,0.8089887640449438,0.874273137517178
2,SVM_RBF,min,0.1,0.891213389121339,0.8068181818181818,0.8875,0.8452380952380952,0.874273137517178
3,SVM_RBF,min,0.15,0.9070796460176991,0.8125,0.9154929577464789,0.8609271523178808,0.874273137517178
4,SVM_RBF,min,0.2,0.910377358490566,0.8289473684210527,0.9130434782608695,0.8689655172413793,0.874273137517178
5,SVM_RBF,min,0.25,0.9095477386934674,0.8309859154929577,0.9076923076923077,0.8676470588235294,0.874273137517178
6,SVM_RBF,min,0.3,0.9193548387096774,0.8484848484848485,0.9180327868852459,0.8818897637795275,0.874273137517178
7,SVM_RBF,min,0.35000000000000003,0.9248554913294798,0.8360655737704918,0.9444444444444444,0.8869565217391304,0.874273137517178
8,SVM_RBF,min,0.4,0.9245283018867925,0.8363636363636363,0.9387755102040817,0.8846153846153846,0.874273137517178
9,SVM_RBF,min,0.45,0.9246575342465754,0.8235294117647058,0.9545454545454546,0.8842105263157894,0.874273137517178
10,SVM_RBF,min,0.5,0.9323308270676691,0.8409090909090909,0.9487179487179487,0.891566265060241,0.874273137517178
11,SVM_RBF,min,0.55,0.925,0.825,0.9428571428571428,0.88,0.874273137517178
12,SVM_RBF,min,0.6,0.9150943396226415,0.8157894736842105,0.9393939393939394,0.8732394366197183,0.874273137517178
13,SVM_RBF,min,0.65,0.9354838709677419,0.8857142857142857,0.9393939393939394,0.9117647058823529,0.874273137517178
14,SVM_RBF,min,0.7000000000000001,0.9375,0.896551724137931,0.9285714285714286,0.9122807017543859,0.874273137517178
15,SVM_RBF,min,0.75,0.9552238805970149,0.8846153846153846,1.0,0.9387755102040817,0.874273137517178
16,SVM_RBF,min,0.8,0.9433962264150944,0.8571428571428571,1.0,0.9230769230769231,0.874273137517178
17,SVM_RBF,min,0.85,0.95,0.8823529411764706,1.0,0.9375,0.874273137517178
18,SVM_RBF,min,0.9,0.9259259259259259,0.8571428571428571,1.0,0.9230769230769231,0.874273137517178
