,Model,Method,Rejection Rate,Accuracy,Precision,Recall,F1-Score,AU-ARC
16,SVM_RBF,min,0.8,0.49100599600266487,0.43494996150885296,0.9495798319327731,0.5966209081309398,0.4319723507479918
17,SVM_RBF,min,0.85,0.5328596802841918,0.48542713567839196,0.971830985915493,0.6474530831099196,0.4319723507479918
18,SVM_RBF,min,0.9,0.5739014647137151,0.5376661742983752,0.9811320754716981,0.6946564885496184,0.4319723507479918
19,SVM_RBF,min,0.9500000000000001,0.6170212765957447,0.5889212827988338,0.9853658536585366,0.7372262773722628,0.4319723507479918
0,MLP,min,0.0,0.7195040661245168,0.3788786064235166,0.41952983725135623,0.39816933638443935,0.7743451138530636
1,MLP,min,0.05,0.7301431378052203,0.3904933814681107,0.41629249518922384,0.40298044085687673,0.7743451138530636
2,MLP,min,0.1,0.7410753962375944,0.406,0.4154160982264666,0.41065407956844235,0.7743451138530636
3,MLP,min,0.15,0.751254705144291,0.42136498516320475,0.413391557496361,0.41734019103600295,0.7743451138530636
4,MLP,min,0.2,0.7635394100983169,0.43369474562135113,0.4126984126984127,0.42293615290768605,0.7743451138530636
5,MLP,min,0.25,0.7756843227870601,0.45489078822412155,0.4104541559554413,0.4315315315315315,0.7743451138530636
6,MLP,min,0.3,0.784231574938107,0.46588486140724944,0.4087932647333957,0.4354758345789736,0.7743451138530636
7,MLP,min,0.35000000000000003,0.793273174733388,0.47515151515151516,0.40537745604963804,0.4375,0.7743451138530636
8,MLP,min,0.4,0.8013774716729616,0.4853963838664812,0.3997709049255441,0.43844221105527637,0.7743451138530636
9,MLP,min,0.45,0.8097430925836161,0.49759229534510435,0.39641943734015345,0.4412811387900356,0.7743451138530636
10,MLP,min,0.5,0.819781391628899,0.5132575757575758,0.3927536231884058,0.44499178981937604,0.7743451138530636
11,MLP,min,0.55,0.8320497630331753,0.527027027027027,0.39593908629441626,0.45217391304347826,0.7743451138530636
12,MLP,min,0.6,0.8370543152282572,0.5260273972602739,0.3779527559055118,0.43986254295532645,0.7743451138530636
13,MLP,min,0.65,0.8457730388423458,0.5354609929078015,0.3552941176470588,0.42715700141442714,0.7743451138530636
14,MLP,min,0.7000000000000001,0.8556197245668592,0.5396039603960396,0.3196480938416422,0.4014732965009208,0.7743451138530636
15,MLP,min,0.75,0.8656716417910447,0.5223880597014925,0.2713178294573643,0.35714285714285715,0.7743451138530636
16,MLP,min,0.8,0.8787475016655563,0.5568181818181818,0.2552083333333333,0.35,0.7743451138530636
17,MLP,min,0.85,0.8925399644760214,0.6041666666666666,0.22137404580152673,0.3240223463687151,0.7743451138530636
18,MLP,min,0.9,0.8921438082556591,0.5,0.13580246913580246,0.21359223300970873,0.7743451138530636
19,MLP,min,0.9500000000000001,0.9148936170212766,0.0,0.0,0.0,0.7743451138530636
0,Random_Forest,min,0.0,0.8042927609652046,0.5674911660777385,0.48402652200120555,0.5224463240078074,0.8462924122901423
1,Random_Forest,min,0.05,0.8199550940218917,0.5996705107084019,0.47737704918032786,0.5315808689302666,0.8462924122901423
2,Random_Forest,min,0.1,0.8349874092727003,0.6360189573459716,0.47894361170592437,0.5464169381107492,0.8462924122901423
3,Random_Forest,min,0.15,0.8464554579673776,0.652127659574468,0.48458498023715413,0.5560090702947846,0.8462924122901423
4,Random_Forest,min,0.2,0.8560239960006666,0.6711003627569528,0.4838709677419355,0.5623100303951368,0.8462924122901423
5,Random_Forest,min,0.25,0.8633131887664415,0.6919889502762431,0.4785100286532951,0.5657820440429137,0.8462924122901423
6,Random_Forest,min,0.3,0.8708817368120358,0.7082683307332294,0.4804232804232804,0.5725094577553594,0.8462924122901423
7,Random_Forest,min,0.35000000000000003,0.8783839212469237,0.7317073170731707,0.4889406286379511,0.5861828332170272,0.8462924122901423
8,Random_Forest,min,0.4,0.8866918462563874,0.749003984063745,0.49473684210526314,0.595879556259905,0.8462924122901423
9,Random_Forest,min,0.45,0.8919049927290353,0.7594654788418709,0.5022091310751104,0.6046099290780141,0.8462924122901423
10,Random_Forest,min,0.5,0.8981604905358571,0.7704081632653061,0.5084175084175084,0.6125760649087221,0.8462924122901423
11,Random_Forest,min,0.55,0.9016587677725119,0.7793696275071633,0.5161290322580645,0.6210045662100456,0.8462924122901423
12,Random_Forest,min,0.6,0.9046984338553815,0.79,0.5152173913043478,0.6236842105263158,0.8462924122901423
13,Random_Forest,min,0.65,0.9108910891089109,0.8015564202334631,0.5295629820051414,0.6377708978328174,0.8462924122901423
14,Random_Forest,min,0.7000000000000001,0.9178143047534429,0.7922705314009661,0.5359477124183006,0.6393762183235867,0.8462924122901423
15,Random_Forest,min,0.75,0.9285714285714286,0.8074534161490683,0.5579399141630901,0.6598984771573604,0.8462924122901423
16,Random_Forest,min,0.8,0.9340439706862091,0.8389830508474576,0.553072625698324,0.6666666666666666,0.8462924122901423
17,Random_Forest,min,0.85,0.9378330373001776,0.8271604938271605,0.5447154471544715,0.6568627450980392,0.8462924122901423
18,Random_Forest,min,0.9,0.9573901464713716,0.8913043478260869,0.6029411764705882,0.7192982456140351,0.8462924122901423
19,Random_Forest,min,0.9500000000000001,0.9680851063829787,0.8695652173913043,0.6896551724137931,0.7692307692307693,0.8462924122901423
0,Gradient_Boosting,min,0.0,0.8085588588188242,0.6054872280037843,0.3857745629897529,0.47128129602356406,0.832422881778705
1,Gradient_Boosting,min,0.05,0.822340724108897,0.6371986222732492,0.3687707641196013,0.4671717171717172,0.832422881778705
2,Gradient_Boosting,min,0.1,0.8345430306621241,0.662534435261708,0.35550628233555065,0.4627224627224627,0.832422881778705
3,Gradient_Boosting,min,0.15,0.8439460476787954,0.6851851851851852,0.33497942386831275,0.4499723604201216,0.832422881778705
4,Gradient_Boosting,min,0.2,0.8541909681719714,0.7115009746588694,0.3342490842490842,0.45482866043613707,0.832422881778705
5,Gradient_Boosting,min,0.25,0.864912904372556,0.7372093023255814,0.3288381742738589,0.45480631276901007,0.832422881778705
