,Method,Rejection Rate,Selection Threshold,Accuracy,Precision,Recall,F1-Score,AU-ARC
95,min,0.3,0.75,0.9408602150537635,0.8656716417910447,0.9666666666666667,0.9133858267716536,0.8553304302892369
96,min,0.4,0.0,0.949685534591195,0.8823529411764706,0.9574468085106383,0.9183673469387755,0.8553304302892369
97,min,0.4,0.25,0.949685534591195,0.8823529411764706,0.9574468085106383,0.9183673469387755,0.8553304302892369
98,min,0.4,0.5,0.949685534591195,0.8823529411764706,0.9574468085106383,0.9183673469387755,0.8553304302892369
99,min,0.4,0.75,0.949685534591195,0.8823529411764706,0.9574468085106383,0.9183673469387755,0.8553304302892369
100,min,0.5,0.0,0.9699248120300752,0.918918918918919,0.9714285714285714,0.9444444444444444,0.8553304302892369
101,min,0.5,0.25,0.9699248120300752,0.918918918918919,0.9714285714285714,0.9444444444444444,0.8553304302892369
102,min,0.5,0.5,0.9699248120300752,0.918918918918919,0.9714285714285714,0.9444444444444444,0.8553304302892369
103,min,0.5,0.75,0.9699248120300752,0.918918918918919,0.9714285714285714,0.9444444444444444,0.8553304302892369
104,min,0.6,0.0,0.9622641509433962,0.9,0.9642857142857143,0.9310344827586207,0.8553304302892369
105,min,0.6,0.25,0.9622641509433962,0.9,0.9642857142857143,0.9310344827586207,0.8553304302892369
106,min,0.6,0.5,0.9622641509433962,0.9,0.9642857142857143,0.9310344827586207,0.8553304302892369
107,min,0.6,0.75,0.9622641509433962,0.9,0.9642857142857143,0.9310344827586207,0.8553304302892369
108,min,0.7000000000000001,0.0,0.975,0.9473684210526315,0.9473684210526315,0.9473684210526315,0.8553304302892369
109,min,0.7000000000000001,0.25,0.975,0.9473684210526315,0.9473684210526315,0.9473684210526315,0.8553304302892369
110,min,0.7000000000000001,0.5,0.975,0.9473684210526315,0.9473684210526315,0.9473684210526315,0.8553304302892369
111,min,0.7000000000000001,0.75,0.975,0.9473684210526315,0.9473684210526315,0.9473684210526315,0.8553304302892369
112,min,0.8,0.0,1.0,1.0,1.0,1.0,0.8553304302892369
113,min,0.8,0.25,1.0,1.0,1.0,1.0,0.8553304302892369
114,min,0.8,0.5,1.0,1.0,1.0,1.0,0.8553304302892369
115,min,0.8,0.75,1.0,1.0,1.0,1.0,0.8553304302892369
116,min,0.9,0.0,1.0,1.0,1.0,1.0,0.8553304302892369
117,min,0.9,0.25,1.0,1.0,1.0,1.0,0.8553304302892369
118,min,0.9,0.5,1.0,1.0,1.0,1.0,0.8553304302892369
119,min,0.9,0.75,1.0,1.0,1.0,1.0,0.8553304302892369
120,max,0.0,0.0,0.8716981132075472,0.7722772277227723,0.8764044943820225,0.8210526315789474,0.8545320384965296
121,max,0.0,0.25,0.8716981132075472,0.7722772277227723,0.8764044943820225,0.8210526315789474,0.8545320384965296
122,max,0.0,0.5,0.8830188679245283,0.7959183673469388,0.8764044943820225,0.8342245989304813,0.8545320384965296
123,max,0.0,0.75,0.8943396226415095,0.8279569892473119,0.8651685393258427,0.8461538461538461,0.8545320384965296
124,max,0.1,0.0,0.895397489539749,0.797752808988764,0.9102564102564102,0.8502994011976048,0.8545320384965296
125,max,0.1,0.25,0.895397489539749,0.797752808988764,0.9102564102564102,0.8502994011976048,0.8545320384965296
126,max,0.1,0.5,0.9079497907949791,0.8255813953488372,0.9102564102564102,0.8658536585365854,0.8545320384965296
127,max,0.1,0.75,0.9121338912133892,0.8433734939759037,0.8974358974358975,0.8695652173913043,0.8545320384965296
128,max,0.2,0.0,0.910377358490566,0.8311688311688312,0.9142857142857143,0.8707482993197279,0.8545320384965296
129,max,0.2,0.25,0.910377358490566,0.8311688311688312,0.9142857142857143,0.8707482993197279,0.8545320384965296
130,max,0.2,0.5,0.9198113207547169,0.8533333333333334,0.9142857142857143,0.8827586206896552,0.8545320384965296
131,max,0.2,0.75,0.9150943396226415,0.8513513513513513,0.9,0.875,0.8545320384965296
132,max,0.3,0.0,0.9301075268817204,0.8225806451612904,0.9622641509433962,0.8869565217391304,0.8545320384965296
133,max,0.3,0.25,0.9301075268817204,0.8225806451612904,0.9622641509433962,0.8869565217391304,0.8545320384965296
134,max,0.3,0.5,0.9408602150537635,0.85,0.9622641509433962,0.9026548672566371,0.8545320384965296
135,max,0.3,0.75,0.9408602150537635,0.85,0.9622641509433962,0.9026548672566371,0.8545320384965296
136,max,0.4,0.0,0.9559748427672956,0.8958333333333334,0.9555555555555556,0.9247311827956989,0.8545320384965296
137,max,0.4,0.25,0.9559748427672956,0.8958333333333334,0.9555555555555556,0.9247311827956989,0.8545320384965296
138,max,0.4,0.5,0.9559748427672956,0.8958333333333334,0.9555555555555556,0.9247311827956989,0.8545320384965296
139,max,0.4,0.75,0.9559748427672956,0.8958333333333334,0.9555555555555556,0.9247311827956989,0.8545320384965296
140,max,0.5,0.0,0.9473684210526315,0.8529411764705882,0.9354838709677419,0.8923076923076924,0.8545320384965296
141,max,0.5,0.25,0.9473684210526315,0.8529411764705882,0.9354838709677419,0.8923076923076924,0.8545320384965296
142,max,0.5,0.5,0.9473684210526315,0.8529411764705882,0.9354838709677419,0.8923076923076924,0.8545320384965296
143,max,0.5,0.75,0.9473684210526315,0.8529411764705882,0.9354838709677419,0.8923076923076924,0.8545320384965296
144,max,0.6,0.0,0.9622641509433962,0.9,0.9,0.9,0.8545320384965296
145,max,0.6,0.25,0.9622641509433962,0.9,0.9,0.9,0.8545320384965296
146,max,0.6,0.5,0.9622641509433962,0.9,0.9,0.9,0.8545320384965296
147,max,0.6,0.75,0.9622641509433962,0.9,0.9,0.9,0.8545320384965296
148,max,0.7000000000000001,0.0,0.9875,0.9230769230769231,1.0,0.96,0.8545320384965296
149,max,0.7000000000000001,0.25,0.9875,0.9230769230769231,1.0,0.96,0.8545320384965296
150,max,0.7000000000000001,0.5,0.9875,0.9230769230769231,1.0,0.96,0.8545320384965296
151,max,0.7000000000000001,0.75,0.9875,0.9230769230769231,1.0,0.96,0.8545320384965296
152,max,0.8,0.0,1.0,1.0,1.0,1.0,0.8545320384965296
153,max,0.8,0.25,1.0,1.0,1.0,1.0,0.8545320384965296
154,max,0.8,0.5,1.0,1.0,1.0,1.0,0.8545320384965296
155,max,0.8,0.75,1.0,1.0,1.0,1.0,0.8545320384965296
156,max,0.9,0.0,1.0,0.0,0.0,0.0,0.8545320384965296
157,max,0.9,0.25,1.0,0.0,0.0,0.0,0.8545320384965296
158,max,0.9,0.5,1.0,0.0,0.0,0.0,0.8545320384965296
159,max,0.9,0.75,1.0,0.0,0.0,0.0,0.8545320384965296
