,Method,Rejection Rate,Rejection Threshold,Accuracy,Precision,Recall,F1-Score,AU-ARC
94,min,0.3,0.5,0.9954106044331609,0.9953767532876818,0.9953971500356357,0.9953831538410557,0.8931700145152193
95,min,0.3,0.75,0.9953129577189728,0.9952760422596071,0.9952933725345978,0.9952809116821253,0.8931700145152193
96,min,0.4,0.0,0.9841649578491684,0.9838935783549705,0.9839967997057262,0.9839104366518403,0.8931700145152193
97,min,0.4,0.25,0.9954431533378901,0.9954058538906246,0.9954227556909191,0.9954100943951716,0.8931700145152193
98,min,0.4,0.5,0.9953292321713374,0.9952891231387518,0.9953134807932016,0.9952973911039976,0.8931700145152193
99,min,0.4,0.75,0.9953292321713374,0.995288440083663,0.9953134807932016,0.9952969079292412,0.8931700145152193
100,min,0.5,0.0,0.9844155844155844,0.984075856709368,0.9841871584893181,0.9840999860957822,0.8931700145152193
101,min,0.5,0.25,0.9954887218045113,0.9954426072021566,0.9954479214159583,0.9954432933389422,0.8931700145152193
102,min,0.5,0.5,0.995352016404648,0.9953076727694355,0.9953158910374814,0.9953100154482094,0.8931700145152193
103,min,0.5,0.75,0.995352016404648,0.9953023611746812,0.9953158910374814,0.9953073551648234,0.8931700145152193
104,min,0.6,0.0,0.9837662337662337,0.983366023805898,0.9835549888094668,0.9834114040817123,0.8931700145152193
105,min,0.6,0.25,0.995557074504443,0.9954981169898592,0.9955098574219988,0.9955020412113608,0.8931700145152193
106,min,0.6,0.5,0.9952153110047847,0.9951653714276162,0.9951660771320472,0.9951634825476886,0.8931700145152193
107,min,0.6,0.75,0.9952153110047847,0.9951572410093598,0.9951660771320472,0.995159247480342,0.8931700145152193
108,min,0.7000000000000001,0.0,0.9847345636819321,0.9843835175758727,0.9844848499737675,0.9844047643677886,0.8931700145152193
109,min,0.7000000000000001,0.25,0.9958988380041012,0.9958506624696439,0.9957923456567749,0.9958185927225077,0.8931700145152193
110,min,0.7000000000000001,0.5,0.9956709956709957,0.9956332536845458,0.9955537391189556,0.9955899836927994,0.8931700145152193
111,min,0.7000000000000001,0.75,0.9956709956709957,0.9956055150742519,0.9955537391189556,0.9955767002881352,0.8931700145152193
112,min,0.8,0.0,0.9846206425153794,0.9843504507584252,0.9842591301682945,0.984277575738295,0.8931700145152193
113,min,0.8,0.25,0.9962406015037594,0.9962667285188669,0.9961684034767423,0.9962121243146225,0.8931700145152193
114,min,0.8,0.5,0.9958988380041012,0.9959487592506839,0.9957958252353116,0.9958623475751979,0.8931700145152193
115,min,0.8,0.75,0.9958988380041012,0.995909243109473,0.9957958252353116,0.995841845750147,0.8931700145152193
116,min,0.9,0.0,0.987012987012987,0.9867667136670861,0.9863961523625179,0.9865363104085788,0.8931700145152193
